date,open,high,low,close,close_ma5,close_ma20,close_ma60,close_ma120
2018.10.8,"1,306.31","1,317.09","1,289.92","1,301.00","1,341.45","1,361.18","1,366.58","1,357.58"
2018.10.9,"1,299.08","1,305.88","1,291.76","1,300.15","1,327.31","1,358.10","1,365.92","1,357.83"
2018.10.10,"1,278.80","1,282.76","1,241.45","1,242.10","1,301.25","1,352.90","1,363.98","1,357.73"
2018.10.11,"1,244.84","1,266.54","1,220.49","1,229.36","1,277.69","1,346.26","1,361.64","1,357.61"
2018.10.12,"1,264.38","1,269.52","1,234.36","1,253.58","1,265.24","1,340.07","1,359.77","1,357.71"
2018.10.15,"1,245.88","1,255.97","1,237.49","1,241.82","1,253.40","1,334.29","1,357.81","1,357.49"
2018.10.16,"1,255.59","1,284.27","1,255.00","1,282.95","1,249.96","1,329.99","1,356.51","1,357.69"
2018.10.17,"1,292.50","1,295.05","1,268.80","1,277.31","1,257.00","1,325.27","1,355.35","1,357.97"
2018.10.18,"1,271.66","1,271.66","1,241.02","1,245.30","1,260.19","1,318.16","1,353.56","1,357.79"
2018.10.19,"1,253.89","1,260.22","1,221.75","1,225.94","1,254.66","1,310.30","1,351.01","1,357.52"
2018.10.22,"1,236.37","1,241.49","1,223.39","1,234.20","1,253.14","1,302.58","1,348.71","1,357.24"
2018.10.23,"1,197.97","1,234.37","1,189.13","1,227.61","1,242.07","1,295.72","1,346.53","1,356.66"
2018.10.24,"1,204.74","1,207.33","1,144.73","1,146.41","1,215.89","1,285.45","1,342.85","1,355.31"
2018.10.25,"1,151.24","1,182.11","1,151.22","1,173.21","1,201.47","1,276.22","1,339.65","1,354.11"
2018.10.26,"1,145.09","1,172.64","1,134.18","1,153.00","1,186.89","1,265.53","1,335.88","1,352.57"
2018.10.29,"1,175.93","1,181.29","1,119.37","1,140.15","1,168.08","1,254.02","1,331.86","1,350.74"
2018.10.30,"1,141.72","1,188.74","1,140.36","1,187.57","1,160.07","1,244.85","1,328.50","1,349.38"
2018.10.31,"1,205.58","1,211.71","1,191.89","1,202.30","1,171.25","1,236.35","1,325.20","1,348.00"
2018.11.1,"1,210.60","1,261.53","1,210.37","1,258.08","1,188.22","1,231.89","1,322.78","1,347.23"
2018.11.2,"1,257.10","1,260.70","1,224.78","1,239.16","1,205.45","1,228.06","1,320.28","1,346.14"
2018.11.5,"1,233.96","1,235.28","1,208.37","1,228.60","1,223.14","1,224.44","1,318.17","1,345.00"
2018.11.6,"1,226.35","1,246.81","1,226.31","1,242.63","1,234.15","1,221.56","1,316.27","1,344.15"
2018.11.7,"1,255.14","1,260.69","1,242.55","1,257.47","1,245.19","1,222.33","1,314.66","1,343.30"
2018.11.8,"1,241.32","1,260.91","1,240.49","1,252.23","1,244.02","1,223.48","1,313.28","1,342.34"
2018.11.9,"1,235.65","1,239.05","1,218.21","1,229.05","1,242.00","1,222.25","1,311.55","1,341.13"
2018.11.12,"1,207.08","1,208.24","1,170.46","1,174.49","1,231.17","1,218.88","1,309.07","1,339.43"
2018.11.13,"1,186.53","1,213.92","1,184.71","1,190.37","1,220.72","1,214.25","1,306.87","1,337.76"
2018.11.14,"1,205.30","1,212.77","1,183.92","1,194.71","1,208.17","1,210.12","1,304.31","1,336.21"
2018.11.15,"1,189.64","1,239.71","1,189.32","1,234.62","1,204.65","1,209.59","1,302.31","1,334.91"
2018.11.16,"1,194.95","1,225.82","1,193.56","1,220.14","1,202.87","1,209.30","1,300.05","1,333.59"
2018.11.19,"1,213.43","1,217.54","1,172.36","1,173.01","1,202.57","1,206.24","1,296.67","1,331.61"
2018.11.20,"1,143.95","1,190.39","1,143.94","1,174.82","1,199.46","1,203.60","1,292.96","1,329.54"
2018.11.21,"1,191.60","1,196.51","1,179.45","1,179.73","1,196.46","1,205.27","1,289.23","1,327.47"
2018.11.23,"1,168.86","1,189.84","1,168.86","1,179.24","1,185.39","1,205.57","1,285.45","1,325.31"
2018.11.26,"1,199.78","1,201.82","1,184.76","1,201.72","1,181.70","1,208.00","1,282.26","1,323.46"
2018.11.27,"1,193.12","1,213.55","1,189.46","1,204.08","1,187.92","1,211.20","1,278.97","1,321.72"
2018.11.28,"1,214.41","1,231.74","1,192.97","1,231.45","1,199.24","1,213.39","1,275.98","1,320.24"
2018.11.29,"1,226.42","1,233.86","1,219.14","1,221.43","1,207.58","1,214.35","1,272.94","1,318.62"
2018.11.30,"1,220.52","1,239.63","1,210.16","1,239.60","1,219.66","1,213.43","1,270.83","1,317.16"
2018.12.3,"1,278.74","1,281.35","1,259.42","1,272.74","1,233.86","1,215.11","1,269.36","1,315.91"
